Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Barrett, Paul M; Willis, Katherine J; ",Did dinosaurs invent flowers? Dinosaur–angiosperm coevolution revisited,Biological Reviews,76,3,411-447,2001,Cambridge University Press
"Barrett, Paul M; Rayfield, Emily J; ",Ecological and evolutionary implications of dinosaur feeding behaviour,Trends in Ecology & Evolution,21,4,217-224,2006,Elsevier
"Kirkland, James I; Zanno, Lindsay E; Sampson, Scott D; Clark, James M; DeBlieux, Donald D; ",A primitive therizinosauroid dinosaur from the Early Cretaceous of Utah,Nature,435,7038,84-87,2005,Nature Publishing Group UK London
"Benson, Roger BJ; Hunt, Gene; Carrano, Matthew T; Campione, Nicolás; ",Cope's rule and the adaptive landscape of dinosaur body size evolution,Palaeontology,61,1,13-48,2018,Wiley Online Library
"Benson, Roger BJ; ",Dinosaur macroevolution and macroecology,"Annual Review of Ecology, Evolution, and Systematics",49,1,379-408,2018,Annual Reviews
"Brusatte, Stephen L; Butler, Richard J; Barrett, Paul M; Carrano, Matthew T; Evans, David C; Lloyd, Graeme T; Mannion, Philip D; Norell, Mark A; Peppe, Daniel J; Upchurch, Paul; ",The extinction of the dinosaurs,Biological Reviews,90,2,628-642,2015,Wiley Online Library
"Hone, David WE; Farke, Andrew A; Wedel, Mathew J; ","Ontogeny and the fossil record: what, if anything, is an adult dinosaur?",Biology letters,12,2,20150947,2016,The Royal Society
"Brusatte, Stephen L; Nesbitt, Sterling J; Irmis, Randall B; Butler, Richard J; Benton, Michael J; Norell, Mark A; ",The origin and early radiation of dinosaurs,Earth-Science Reviews,101,1-2,68-100,2010,Elsevier
"Bell, Phil R; Snively, Eric; ",Polar dinosaurs on parade: a review of dinosaur migration,Alcheringa,32,3,271-284,2008,Taylor & Francis
"Norell, Mark A; Makovicky, Peter J; Bever, Gabe S; Balanoff, Amy M; Clark, James M; Barsbold, Rinchen; Rowe, Timothy; ",A review of the Mongolian cretaceous dinosaur Saurornithoides (Troodontidae: Theropoda),American Museum Novitates,2009,3654,1-63,2009,BioOne
